freelancer_id,category,years_experience,projects_completed,activity_score,hourly_rate,client_satisfaction,response_time,performance_score,profile_type
113,Writer,14,148,100.0,58.48,82.27,26.77,73.13,Premium
114,Developer,9,32,85.99,48.63,76.95,48.45,60.41,Standard
115,Writer,8,43,82.69,41.13,85.82,44.86,53.01,Standard
116,Writer,12,68,100.0,53.66,77.96,34.97,70.29,Premium
117,Designer,11,144,88.16,57.74,82.71,44.86,74.15,Premium
118,Developer,2,19,57.33,20.81,62.75,52.04,38.3,Standard
119,Writer,5,47,64.52,40.39,63.57,58.65,56.74,Standard
120,Writer,5,18,44.86,14.52,79.32,57.63,33.54,Standard
121,Designer,10,30,100.0,35.38,87.81,61.06,67.31,Premium
122,Writer,2,18,58.18,13.5,77.37,56.63,47.84,Standard
123,Writer,8,71,77.83,48.09,76.61,51.63,58.96,Standard
124,Designer,13,166,100.0,62.07,85.91,42.76,66.36,Premium
125,Designer,14,150,92.59,69.18,83.55,25.54,79.42,Premium
126,Developer,5,22,54.71,38.09,65.16,72.51,42.89,Standard
127,Developer,14,33,100.0,60.67,74.54,38.22,70.04,Premium
128,Developer,3,40,53.73,28.09,65.2,49.74,38.64,Standard
129,Designer,3,41,51.48,24.62,74.73,63.75,40.52,Standard
130,Designer,13,88,100.0,53.64,90.23,45.81,63.85,Premium
131,Developer,4,47,62.86,22.39,66.96,61.05,38.44,Standard
132,Designer,7,25,65.23,29.06,84.5,68.9,46.53,Standard
133,Developer,12,119,100.0,67.08,84.34,43.01,68.84,Premium
134,Designer,6,36,54.24,47.07,87.59,55.02,47.37,Standard
135,Developer,9,127,66.77,47.08,73.43,56.04,54.64,Standard
136,Writer,6,75,67.28,46.85,79.74,65.24,42.84,Standard
137,Writer,5,44,60.23,35.43,82.6,53.62,48.86,Standard
138,Designer,4,3,60.55,28.81,100.0,53.38,54.52,Standard
139,Developer,4,55,68.74,37.02,81.46,45.11,50.22,Standard
140,Developer,4,39,58.44,27.41,73.31,55.46,51.43,Standard
141,Developer,4,38,41.91,37.84,100.0,52.02,43.5,Standard
142,Writer,9,100,91.48,42.84,85.07,55.83,64.37,Premium
143,Writer,1,17,54.14,27.59,61.76,84.7,27.78,Standard
144,Designer,14,86,100.0,48.11,83.89,47.03,64.06,Premium
145,Writer,2,12,68.68,35.38,66.7,72.0,44.43,Standard
146,Designer,9,102,91.5,40.43,85.94,52.03,60.93,Standard
147,Designer,5,39,80.0,39.02,64.62,76.87,51.81,Standard
148,Designer,5,39,74.78,45.72,95.17,79.04,65.62,Premium
149,Developer,7,89,63.72,36.08,83.03,62.42,47.61,Standard
150,Writer,13,167,100.0,52.61,81.99,26.75,78.45,Premium
151,Developer,11,133,79.93,53.66,86.45,28.55,69.99,Premium
152,Developer,2,10,45.72,25.25,73.45,78.84,35.41,Standard
153,Developer,13,38,100.0,62.16,74.24,41.33,75.07,Premium
154,Developer,8,79,73.58,59.76,84.69,54.98,61.16,Standard
155,Developer,3,8,62.74,28.93,71.72,66.79,45.27,Standard
156,Writer,13,31,91.34,64.57,92.48,40.48,71.93,Premium
157,Writer,4,58,41.92,31.2,87.36,66.66,36.11,Standard
158,Writer,9,120,94.58,43.06,71.47,50.83,67.93,Premium
159,Developer,8,91,90.34,44.75,88.18,65.06,58.34,Standard
160,Developer,9,40,84.05,53.37,95.8,51.44,61.61,Standard
161,Developer,3,23,62.57,25.8,66.33,43.48,48.53,Standard
162,Writer,13,63,74.1,45.63,82.75,42.94,58.91,Standard
163,Writer,4,34,70.99,32.55,68.69,48.36,49.2,Standard
164,Writer,6,67,62.21,43.02,63.73,65.01,35.38,Standard
165,Writer,2,18,50.84,25.78,59.9,68.38,27.8,Standard
166,Developer,6,71,77.93,36.22,76.57,52.85,53.12,Standard
167,Writer,13,108,100.0,70.11,75.19,37.84,77.59,Premium
168,Writer,12,124,100.0,52.2,76.53,38.45,67.04,Premium
169,Designer,13,173,62.72,58.72,80.91,39.82,53.17,Standard
170,Designer,2,5,39.28,26.21,74.42,86.04,22.25,Standard
171,Designer,1,9,34.95,18.33,71.02,70.68,32.67,Standard
172,Designer,3,26,52.56,21.01,73.78,65.46,35.14,Standard
173,Developer,9,35,100.0,46.31,72.95,62.09,55.29,Standard
174,Writer,7,48,82.84,53.39,81.7,71.31,59.85,Standard
175,Developer,2,8,63.37,31.28,56.26,78.3,49.81,Standard
176,Designer,12,53,84.0,45.4,86.01,44.07,61.56,Standard
177,Developer,1,8,68.37,25.12,50.0,70.74,32.7,Standard
178,Developer,4,51,71.62,26.43,72.12,60.44,45.04,Standard
179,Developer,5,18,63.22,46.34,90.92,71.7,40.32,Standard
180,Developer,6,20,76.71,45.52,77.83,58.53,54.37,Standard
181,Developer,4,30,70.49,19.72,83.24,71.42,47.29,Standard
182,Developer,3,3,49.4,34.06,77.87,75.17,37.77,Standard
183,Designer,9,138,100.0,49.32,71.4,44.38,66.1,Premium
184,Designer,15,148,100.0,70.3,87.52,25.87,83.87,Premium
185,Developer,14,190,100.0,69.06,91.33,45.79,80.63,Premium
186,Developer,7,72,75.74,50.08,85.97,77.23,61.97,Standard
187,Developer,9,73,83.72,46.59,74.22,47.3,53.62,Standard
188,Developer,14,106,100.0,69.52,91.36,38.29,70.15,Premium
189,Designer,3,20,70.27,22.79,90.3,59.41,47.18,Standard
190,Designer,15,65,100.0,62.16,89.54,55.97,78.49,Premium
191,Designer,10,141,76.57,52.65,75.57,52.16,58.44,Standard
192,Writer,14,152,100.0,75.77,99.25,37.11,77.58,Premium
193,Writer,13,39,99.04,44.87,84.82,45.88,75.81,Premium
194,Designer,10,81,100.0,46.22,85.15,45.45,60.92,Standard
195,Designer,12,66,93.45,52.68,74.19,46.87,60.29,Standard
196,Developer,7,89,68.53,46.26,79.11,49.83,58.64,Standard
197,Designer,13,57,100.0,65.94,67.34,68.21,76.75,Premium
198,Writer,14,66,100.0,50.39,85.9,36.34,82.72,Premium
199,Designer,4,36,52.35,6.86,79.98,82.02,39.95,Standard
200,Developer,3,31,47.26,27.5,56.06,68.8,36.51,Standard
201,Designer,1,8,66.34,19.0,69.08,67.43,45.42,Standard
202,Developer,1,2,41.19,30.18,77.47,77.37,30.76,Standard
203,Developer,6,26,74.29,42.55,67.06,50.28,51.34,Standard
204,Writer,10,61,100.0,50.17,77.31,43.48,69.25,Premium
205,Writer,15,213,100.0,72.16,92.58,33.3,71.94,Premium
206,Designer,4,42,60.1,30.75,75.57,62.08,37.25,Standard
207,Developer,3,13,65.34,19.0,80.2,54.44,53.6,Standard
208,Designer,11,107,96.6,44.62,77.5,50.13,61.62,Standard
209,Developer,13,144,100.0,72.22,67.52,50.37,79.53,Premium
210,Designer,6,67,69.17,55.32,63.42,57.57,52.86,Standard
211,Writer,10,132,98.32,60.63,94.34,69.7,67.58,Premium
212,Designer,11,56,100.0,51.91,78.88,54.76,68.38,Premium
213,Writer,10,118,100.0,52.27,84.9,49.26,63.44,Premium
214,Developer,11,151,100.0,54.67,88.05,53.93,73.17,Premium
215,Designer,6,38,69.45,30.79,72.13,49.15,57.55,Standard
216,Developer,6,65,71.93,52.17,82.78,81.42,52.93,Standard
217,Designer,6,57,60.69,53.54,74.78,47.27,55.82,Standard
218,Writer,12,79,100.0,50.74,79.22,57.67,61.91,Standard
219,Writer,10,79,95.02,51.26,83.55,35.31,67.84,Premium
220,Developer,8,46,80.88,46.08,85.7,62.94,60.05,Standard
221,Writer,6,41,84.28,26.35,66.79,72.55,56.76,Standard
222,Writer,8,100,95.28,46.28,85.91,73.24,57.38,Standard
223,Developer,10,110,95.37,42.94,100.0,40.57,66.73,Premium
224,Developer,7,51,61.01,59.85,82.56,51.79,52.59,Standard
225,Developer,10,81,100.0,56.86,73.55,60.01,66.17,Premium
226,Designer,5,17,71.34,37.78,81.3,70.58,41.58,Standard
227,Developer,15,136,100.0,73.27,100.0,39.34,75.09,Premium
228,Developer,3,12,80.18,23.14,68.53,91.53,41.23,Standard
229,Designer,8,50,59.48,25.12,78.78,48.42,50.73,Standard
230,Developer,5,52,80.11,34.58,70.39,61.13,50.57,Standard
231,Developer,1,12,34.7,23.1,64.36,66.67,30.23,Standard
232,Designer,1,3,36.06,24.77,67.44,89.66,28.75,Standard
233,Developer,8,33,100.0,48.06,74.89,44.62,68.1,Premium
234,Developer,12,31,100.0,56.14,74.48,45.34,66.58,Premium
235,Designer,13,173,100.0,74.56,94.11,59.92,76.0,Premium
236,Designer,8,68,72.65,41.33,81.06,53.72,53.48,Standard
237,Writer,1,10,28.89,23.33,66.18,70.62,28.72,Standard
238,Designer,14,142,100.0,69.4,92.52,28.31,70.65,Premium
239,Developer,7,64,67.83,37.57,77.23,43.27,43.09,Standard
240,Designer,2,28,52.35,34.2,69.7,55.13,33.92,Standard
241,Developer,3,13,46.88,20.97,77.72,59.86,33.77,Standard
242,Developer,10,123,90.41,51.56,70.14,49.38,67.69,Premium
243,Designer,8,54,57.03,52.38,81.76,56.37,50.56,Standard
244,Designer,2,24,60.05,42.08,80.0,63.33,50.72,Standard
245,Writer,13,185,100.0,62.45,69.94,55.02,64.51,Premium
246,Developer,14,42,100.0,67.05,73.76,50.64,67.01,Premium
247,Writer,14,52,100.0,60.71,72.15,52.05,65.47,Premium
248,Designer,6,15,80.8,34.74,58.48,48.36,50.45,Standard
249,Developer,11,123,90.74,56.96,90.57,38.08,75.74,Premium
250,Designer,13,124,89.95,62.16,81.1,57.6,63.31,Premium
251,Developer,3,8,51.88,23.91,74.44,47.68,39.11,Standard
252,Developer,9,51,87.68,37.6,80.3,58.54,62.53,Standard
253,Writer,10,44,92.89,51.47,93.9,50.81,74.72,Premium
254,Designer,15,176,89.81,68.96,75.74,29.96,74.49,Premium
255,Designer,10,138,88.8,42.08,85.85,54.34,67.37,Premium
256,Writer,7,45,61.57,53.71,76.67,55.26,51.88,Standard
257,Writer,9,73,61.82,25.13,84.61,45.96,52.03,Standard
258,Developer,7,85,68.61,26.13,74.29,57.26,45.95,Standard
259,Developer,3,32,42.82,19.51,73.34,71.69,34.1,Standard
260,Designer,4,50,57.31,35.44,83.47,59.77,51.43,Standard
261,Writer,4,54,58.21,24.04,80.58,67.13,31.82,Standard
262,Designer,2,24,35.85,12.69,78.87,66.36,26.18,Standard
263,Developer,11,102,94.31,51.99,90.25,58.55,72.77,Premium
264,Writer,15,147,100.0,56.4,80.4,39.03,68.79,Premium
265,Designer,14,107,100.0,69.04,69.87,28.94,71.86,Premium
266,Designer,10,72,94.93,57.62,79.42,49.73,65.01,Premium
267,Writer,6,63,53.37,39.23,57.03,60.3,31.28,Standard
268,Designer,5,55,70.93,43.05,82.51,66.58,44.76,Standard
269,Developer,14,159,100.0,66.93,91.27,57.98,72.53,Premium
270,Developer,12,86,87.05,38.8,73.1,65.67,56.49,Standard
271,Writer,8,28,70.21,43.64,85.39,63.01,48.45,Standard
272,Writer,4,50,46.01,47.95,72.78,72.66,39.08,Standard
273,Writer,2,9,48.77,41.66,76.46,59.85,43.18,Standard
274,Developer,15,50,100.0,73.95,88.58,39.94,81.08,Premium
275,Designer,14,36,100.0,56.15,89.26,45.94,62.59,Premium
276,Developer,9,47,89.38,45.7,75.52,62.12,60.27,Standard
277,Developer,6,22,59.64,30.98,81.55,74.34,45.49,Standard
278,Developer,6,32,66.62,44.51,75.52,51.44,49.55,Standard
279,Designer,8,104,63.45,35.21,83.12,56.63,42.87,Standard
280,Developer,8,23,75.35,37.94,87.97,68.78,57.55,Standard
281,Writer,14,39,100.0,68.99,96.44,53.72,80.4,Premium
282,Designer,9,50,75.24,37.48,98.43,34.95,53.79,Standard
283,Developer,6,25,80.54,44.19,74.08,61.63,53.43,Standard
284,Writer,11,64,100.0,55.83,69.72,64.46,65.04,Premium
285,Designer,11,76,74.96,50.76,78.88,54.86,63.08,Premium
286,Developer,12,106,100.0,49.55,76.85,62.72,64.37,Premium
287,Developer,5,32,64.87,35.83,90.36,65.91,57.7,Standard
288,Developer,14,163,100.0,75.82,80.84,38.49,80.44,Premium
289,Writer,11,162,73.64,40.93,72.99,61.53,44.54,Standard
290,Developer,10,127,85.79,40.06,77.89,32.25,66.27,Premium
291,Developer,13,90,100.0,61.74,91.27,33.07,76.14,Premium
292,Developer,4,45,77.66,28.29,80.09,61.45,48.74,Standard
293,Designer,12,168,100.0,45.16,88.11,43.33,64.25,Premium
294,Designer,9,37,71.55,54.84,85.92,53.74,47.99,Standard
295,Developer,13,66,100.0,56.45,88.05,35.31,70.85,Premium
296,Developer,2,12,63.27,31.84,63.71,56.12,43.75,Standard
297,Developer,14,139,100.0,77.85,81.0,34.59,69.19,Premium
298,Writer,15,40,98.12,62.25,90.5,29.63,78.27,Premium
299,Writer,4,28,73.54,35.09,66.25,46.95,44.73,Standard
300,Designer,12,59,100.0,62.16,88.69,61.18,76.41,Premium
301,Designer,2,1,45.17,30.83,64.04,72.29,47.94,Standard
302,Designer,15,118,100.0,58.05,87.18,49.96,67.59,Premium
303,Designer,15,104,100.0,69.83,88.32,45.17,74.97,Premium
304,Designer,12,98,84.36,56.01,68.76,33.33,60.01,Standard
305,Designer,11,80,99.1,48.51,67.09,60.44,59.69,Standard
306,Designer,5,26,52.68,37.35,57.96,67.89,33.72,Standard
307,Designer,2,20,55.38,15.38,83.88,92.37,40.76,Standard
308,Developer,15,119,100.0,53.48,92.2,52.46,72.33,Premium
309,Developer,9,130,78.46,54.11,74.31,64.89,51.05,Standard
310,Writer,7,47,69.07,41.81,68.3,64.47,53.73,Standard
311,Designer,15,216,100.0,57.23,84.28,41.34,64.63,Premium
312,Developer,10,139,89.18,57.44,70.61,60.92,61.17,Standard
313,Developer,12,121,91.16,52.51,83.27,67.39,64.91,Premium
314,Designer,6,32,77.49,43.46,62.71,65.72,54.13,Standard
315,Designer,3,17,62.1,24.99,79.16,53.57,41.31,Standard
316,Developer,3,28,49.47,38.02,71.77,84.14,40.83,Standard
317,Designer,9,48,93.88,52.23,75.18,47.08,60.9,Standard
318,Developer,12,123,100.0,55.18,80.48,43.75,70.14,Premium
319,Designer,8,88,69.96,37.93,89.02,30.46,56.08,Standard
320,Developer,2,16,33.33,23.94,81.95,73.55,36.78,Standard
321,Developer,13,103,100.0,49.7,78.05,43.37,69.22,Premium
322,Developer,14,157,100.0,65.27,89.23,52.56,75.55,Premium
323,Designer,11,87,84.23,42.97,82.04,24.73,63.11,Premium
324,Developer,2,14,43.55,25.85,62.76,73.12,40.09,Standard
325,Designer,2,12,79.78,16.79,83.42,53.83,48.09,Standard
326,Designer,9,62,95.36,49.84,89.53,57.88,70.2,Premium
327,Writer,15,115,100.0,60.81,100.0,31.62,88.08,Premium
328,Developer,14,108,100.0,60.67,86.98,40.96,81.5,Premium
329,Designer,5,42,75.79,35.75,83.94,82.77,55.97,Standard
330,Developer,13,103,100.0,57.87,82.87,39.44,68.07,Premium
331,Writer,13,69,65.18,74.41,74.31,52.47,57.71,Standard
332,Designer,14,76,100.0,60.96,92.02,62.87,77.23,Premium
333,Designer,8,109,95.95,36.4,78.47,59.76,53.81,Standard
334,Writer,10,72,92.48,42.33,91.37,55.05,59.25,Standard
335,Developer,3,27,44.66,16.39,80.72,52.71,31.48,Standard
336,Writer,8,82,76.21,40.15,69.03,56.01,47.74,Standard
337,Developer,12,126,100.0,53.83,86.84,52.41,67.61,Premium
338,Writer,2,10,35.01,19.08,75.59,61.77,23.15,Standard
339,Writer,14,150,100.0,71.75,69.46,64.26,73.07,Premium
340,Writer,10,33,94.49,52.66,81.9,53.53,67.9,Premium
341,Designer,5,80,76.39,30.81,83.7,64.59,54.43,Standard
342,Writer,2,23,40.39,14.64,78.62,77.41,33.98,Standard
343,Writer,9,95,78.55,51.27,78.05,74.96,45.43,Standard
344,Developer,8,17,79.86,44.66,81.77,56.23,52.6,Standard
345,Developer,4,44,47.2,37.95,86.01,61.35,43.56,Standard
346,Designer,8,85,92.9,44.33,82.24,65.98,61.15,Standard
347,Developer,9,68,89.08,38.87,51.82,37.37,50.71,Standard
348,Writer,3,34,57.18,18.64,79.38,63.82,42.79,Standard
349,Designer,6,50,63.6,23.17,86.57,62.72,38.56,Standard
350,Designer,7,87,100.0,47.5,70.67,69.4,71.84,Premium
351,Writer,3,21,44.2,30.74,68.75,63.72,29.94,Standard
352,Writer,5,29,69.7,29.71,68.18,57.25,36.55,Standard
353,Developer,9,44,80.93,37.51,85.65,51.09,59.09,Standard
354,Writer,7,60,77.68,55.83,69.96,63.94,52.68,Standard
355,Developer,12,101,100.0,45.46,79.63,63.54,64.3,Premium
356,Designer,14,195,100.0,50.63,82.66,37.23,82.8,Premium
357,Writer,12,150,85.34,52.78,81.68,53.17,59.75,Standard
358,Designer,14,68,100.0,64.56,68.64,55.65,75.03,Premium
359,Writer,9,88,78.45,45.34,91.42,47.3,57.43,Standard
360,Designer,10,40,65.05,46.71,98.79,48.47,56.8,Standard
361,Developer,14,95,97.28,48.93,80.84,24.89,77.98,Premium
362,Developer,3,38,76.36,20.9,68.78,68.07,43.35,Standard
363,Designer,10,100,89.32,47.43,76.12,40.75,68.81,Premium
364,Writer,7,84,61.32,44.4,72.04,52.63,48.1,Standard
365,Developer,11,124,92.63,48.7,76.19,35.9,61.19,Standard
366,Designer,12,81,87.15,63.91,75.6,29.55,71.36,Premium
367,Writer,10,45,93.99,63.37,76.96,63.84,66.62,Premium
368,Developer,5,26,81.14,42.98,87.19,65.67,46.83,Standard
369,Writer,7,27,73.46,40.42,68.46,71.01,48.42,Standard
370,Developer,7,86,67.75,34.6,83.83,64.76,44.46,Standard
371,Developer,2,1,56.73,28.97,83.65,63.66,43.43,Standard
372,Writer,13,88,100.0,45.99,79.91,62.87,69.63,Premium
373,Writer,8,112,100.0,56.32,64.56,61.44,69.11,Premium
374,Developer,6,57,58.92,42.03,72.38,75.54,47.62,Standard
375,Designer,6,35,81.92,30.2,69.79,62.45,47.08,Standard
376,Developer,12,129,100.0,52.34,95.85,55.24,80.39,Premium
377,Writer,10,34,69.55,39.95,83.8,45.31,41.38,Standard
378,Developer,15,216,98.29,65.04,88.15,25.19,77.46,Premium
379,Developer,7,47,71.27,37.47,74.93,47.19,56.25,Standard
380,Developer,13,143,100.0,64.68,78.12,57.57,69.56,Premium
381,Designer,1,10,39.61,40.62,67.87,53.14,43.29,Standard
382,Writer,11,55,88.84,44.14,90.91,49.56,56.85,Standard
383,Designer,1,9,51.32,20.4,74.49,56.37,37.35,Standard
384,Developer,11,35,100.0,63.67,66.56,41.37,61.16,Standard
385,Writer,7,82,89.81,25.51,79.35,66.82,64.16,Premium
386,Developer,15,182,99.25,64.98,89.4,36.52,78.86,Premium
387,Writer,14,191,100.0,59.79,72.96,51.92,65.7,Premium
388,Designer,9,87,93.43,42.3,86.56,67.31,64.77,Premium
389,Designer,10,75,81.61,38.39,63.49,31.65,50.29,Standard
390,Developer,4,65,60.21,20.47,77.94,59.19,49.4,Standard
391,Designer,2,30,63.34,20.44,69.44,73.74,36.2,Standard
392,Developer,7,54,78.85,42.9,68.01,45.39,46.09,Standard
393,Developer,3,18,43.48,25.58,69.32,56.84,26.24,Standard
394,Writer,10,44,82.44,41.44,76.41,58.45,63.27,Premium
395,Designer,12,48,100.0,55.68,90.91,45.1,67.17,Premium
396,Writer,13,155,92.3,59.15,79.33,37.33,64.04,Premium
397,Designer,5,60,59.77,32.43,65.92,61.78,47.48,Standard
398,Designer,3,30,40.96,29.14,61.86,74.99,28.58,Standard
399,Developer,6,60,81.94,31.67,85.41,58.08,56.62,Standard
400,Developer,15,186,100.0,66.75,83.57,44.56,77.94,Premium
401,Developer,1,8,35.75,29.26,80.83,62.22,24.68,Standard
402,Developer,12,46,100.0,57.46,79.31,57.41,73.67,Premium
403,Writer,13,49,94.24,62.34,75.98,46.05,66.77,Premium
404,Developer,8,90,74.52,47.33,77.28,58.78,48.6,Standard
405,Developer,14,168,93.91,43.52,82.73,64.2,58.66,Standard
406,Developer,11,117,85.11,52.35,83.86,50.8,65.4,Premium
407,Developer,14,191,100.0,67.12,89.55,40.53,81.47,Premium
408,Designer,14,146,94.28,58.98,96.71,55.07,56.29,Standard
